iter,HPWL,LSE,Overflow,lambda
1,1.72695e+08,1.7273e+08,0.95874,10
2,1.72692e+08,1.72727e+08,0.95874,10
3,1.72688e+08,1.72723e+08,0.95874,10
4,1.72683e+08,1.72717e+08,0.95874,10
5,1.72677e+08,1.72711e+08,0.95874,10
6,1.72669e+08,1.72704e+08,0.95874,10
7,1.72661e+08,1.72696e+08,0.95874,10
8,1.72653e+08,1.72688e+08,0.95874,10
9,1.72644e+08,1.72679e+08,0.95874,10
10,1.72634e+08,1.72669e+08,0.95874,10
11,1.72623e+08,1.72659e+08,0.95874,10
12,1.72613e+08,1.72649e+08,0.95874,10
13,1.72602e+08,1.72638e+08,0.95874,10
14,1.7259e+08,1.72627e+08,0.95874,10
15,1.72579e+08,1.72616e+08,0.95874,10
16,1.72567e+08,1.72604e+08,0.95874,10
17,1.72555e+08,1.72593e+08,0.95874,10
18,1.72543e+08,1.72581e+08,0.95874,10
19,1.7253e+08,1.72569e+08,0.95874,10
20,1.72518e+08,1.72557e+08,0.95874,10
21,1.72506e+08,1.72545e+08,0.95874,10
22,1.72493e+08,1.72533e+08,0.95874,10
23,1.72481e+08,1.72521e+08,0.95874,10
24,1.72468e+08,1.72509e+08,0.95874,10
25,1.72456e+08,1.72497e+08,0.95874,10
26,1.72443e+08,1.72485e+08,0.95874,10
27,1.72431e+08,1.72473e+08,0.95874,10
28,1.72419e+08,1.72461e+08,0.95874,10
29,1.72406e+08,1.72449e+08,0.95874,10
30,1.72394e+08,1.72437e+08,0.95874,10
31,1.72382e+08,1.72426e+08,0.95874,10
32,1.7237e+08,1.72414e+08,0.95874,10
33,1.72358e+08,1.72403e+08,0.95874,10
34,1.72346e+08,1.72391e+08,0.95874,10
35,1.72334e+08,1.7238e+08,0.95874,10
36,1.72323e+08,1.72369e+08,0.95874,10
37,1.72311e+08,1.72358e+08,0.95874,10
38,1.723e+08,1.72347e+08,0.95874,10
39,1.72289e+08,1.72337e+08,0.95874,10
40,1.72277e+08,1.72326e+08,0.95874,10
41,1.72266e+08,1.72316e+08,0.95874,10
42,1.72255e+08,1.72305e+08,0.95874,10
43,1.72245e+08,1.72295e+08,0.95874,10
44,1.72234e+08,1.72285e+08,0.95874,10
45,1.72223e+08,1.72275e+08,0.95874,10
46,1.72213e+08,1.72265e+08,0.95874,10
47,1.72203e+08,1.72256e+08,0.95874,10
48,1.72193e+08,1.72246e+08,0.95874,10
49,1.72183e+08,1.72237e+08,0.95874,10
50,1.72173e+08,1.72228e+08,0.95874,10
51,1.72163e+08,1.72219e+08,0.95874,10
52,1.72153e+08,1.7221e+08,0.95874,10
53,1.72144e+08,1.72201e+08,0.95874,10
54,1.72135e+08,1.72192e+08,0.95874,10
55,1.72125e+08,1.72184e+08,0.95874,10
56,1.72116e+08,1.72175e+08,0.95874,10
57,1.72107e+08,1.72167e+08,0.95874,10
58,1.72098e+08,1.72159e+08,0.95874,10
59,1.7209e+08,1.72151e+08,0.95874,10
60,1.72081e+08,1.72143e+08,0.95874,10
61,1.72072e+08,1.72135e+08,0.95874,10
62,1.72064e+08,1.72127e+08,0.95874,10
63,1.72056e+08,1.7212e+08,0.95874,10
64,1.72048e+08,1.72112e+08,0.95874,10
65,1.7204e+08,1.72105e+08,0.95874,10
66,1.72032e+08,1.72098e+08,0.95874,10
67,1.72024e+08,1.72091e+08,0.95874,10
68,1.72016e+08,1.72084e+08,0.95874,10
69,1.72009e+08,1.72077e+08,0.95874,10
70,1.72001e+08,1.7207e+08,0.95874,10
71,1.71994e+08,1.72064e+08,0.95874,10
72,1.71986e+08,1.72057e+08,0.95874,10
73,1.71979e+08,1.72051e+08,0.95874,10
74,1.71972e+08,1.72045e+08,0.95874,10
75,1.71965e+08,1.72039e+08,0.95874,10
76,1.71958e+08,1.72033e+08,0.95874,10
77,1.71952e+08,1.72027e+08,0.95874,10
78,1.71945e+08,1.72021e+08,0.95874,10
79,1.71938e+08,1.72015e+08,0.95874,10
80,1.71932e+08,1.72009e+08,0.95874,10
81,1.71925e+08,1.72004e+08,0.95874,10
82,1.71919e+08,1.71998e+08,0.95874,10
83,1.71913e+08,1.71993e+08,0.95874,10
84,1.71907e+08,1.71988e+08,0.95874,10
85,1.71901e+08,1.71983e+08,0.95874,10
86,1.71895e+08,1.71978e+08,0.95874,10
87,1.71889e+08,1.71973e+08,0.95874,10
88,1.71883e+08,1.71968e+08,0.95874,10
89,1.71877e+08,1.71963e+08,0.95874,10
90,1.71872e+08,1.71958e+08,0.95874,10
91,1.71866e+08,1.71954e+08,0.95874,10
92,1.71861e+08,1.71949e+08,0.95874,10
93,1.71855e+08,1.71945e+08,0.95874,10
94,1.7185e+08,1.7194e+08,0.95874,10
95,1.71845e+08,1.71936e+08,0.95874,10
96,1.71839e+08,1.71932e+08,0.95874,10
97,1.71834e+08,1.71928e+08,0.95874,10
98,1.71829e+08,1.71924e+08,0.95874,10
99,1.71824e+08,1.7192e+08,0.95874,10
100,1.7182e+08,1.71916e+08,0.95874,10
101,1.71815e+08,1.71912e+08,0.95874,10
102,1.7181e+08,1.71908e+08,0.95874,10
103,1.71805e+08,1.71905e+08,0.95874,10
104,1.71801e+08,1.71901e+08,0.95874,10
105,1.71796e+08,1.71898e+08,0.95874,10
106,1.71792e+08,1.71894e+08,0.95874,10
107,1.71787e+08,1.71891e+08,0.95874,10
108,1.71783e+08,1.71887e+08,0.95874,10
109,1.71779e+08,1.71884e+08,0.95874,10
110,1.71774e+08,1.71881e+08,0.95874,10
111,1.7177e+08,1.71878e+08,0.95874,10
112,1.71766e+08,1.71875e+08,0.95874,10
113,1.71762e+08,1.71872e+08,0.95874,10
114,1.71758e+08,1.71869e+08,0.95874,10
115,1.71754e+08,1.71866e+08,0.95874,10
116,1.7175e+08,1.71863e+08,0.95874,10
117,1.71746e+08,1.71861e+08,0.95874,10
118,1.71742e+08,1.71858e+08,0.95874,10
119,1.71739e+08,1.71855e+08,0.95874,10
120,1.71735e+08,1.71853e+08,0.95874,10
121,1.71731e+08,1.7185e+08,0.95874,10
122,1.71728e+08,1.71848e+08,0.95874,10
123,1.71724e+08,1.71846e+08,0.95874,10
124,1.71721e+08,1.71843e+08,0.95874,10
125,1.71717e+08,1.71841e+08,0.95874,10
126,1.71714e+08,1.71839e+08,0.95874,10
127,1.71711e+08,1.71837e+08,0.95874,10
128,1.71707e+08,1.71834e+08,0.95874,10
129,1.71704e+08,1.71832e+08,0.95874,10
130,1.71701e+08,1.7183e+08,0.95874,10
131,1.71698e+08,1.71828e+08,0.95874,10
132,1.71695e+08,1.71827e+08,0.95874,10
133,1.71691e+08,1.71825e+08,0.95874,10
134,1.71688e+08,1.71823e+08,0.95874,10
135,1.71685e+08,1.71821e+08,0.95874,10
136,1.71682e+08,1.71819e+08,0.95874,10
137,1.7168e+08,1.71818e+08,0.95874,10
138,1.71677e+08,1.71816e+08,0.95874,10
139,1.71674e+08,1.71814e+08,0.95874,10
140,1.71671e+08,1.71813e+08,0.95874,10
141,1.71668e+08,1.71811e+08,0.95874,10
142,1.71666e+08,1.7181e+08,0.95874,10
143,1.71663e+08,1.71808e+08,0.95874,10
144,1.7166e+08,1.71807e+08,0.95874,10
145,1.71658e+08,1.71806e+08,0.95874,10
146,1.71655e+08,1.71804e+08,0.95874,10
147,1.71653e+08,1.71803e+08,0.95874,10
148,1.7165e+08,1.71802e+08,0.95874,10
149,1.71648e+08,1.71801e+08,0.95874,10
150,1.71645e+08,1.71799e+08,0.95874,10
151,1.71643e+08,1.71798e+08,0.95874,10
152,1.7164e+08,1.71797e+08,0.95874,10
153,1.71638e+08,1.71796e+08,0.95874,10
154,1.71636e+08,1.71795e+08,0.95874,10
155,1.71634e+08,1.71794e+08,0.95874,10
156,1.71631e+08,1.71793e+08,0.95874,10
157,1.71629e+08,1.71792e+08,0.95874,10
158,1.71627e+08,1.71791e+08,0.95874,10
159,1.71625e+08,1.7179e+08,0.95874,10
160,1.71623e+08,1.71789e+08,0.95874,10
161,1.71621e+08,1.71789e+08,0.95874,10
162,1.71619e+08,1.71788e+08,0.95874,10
163,1.71617e+08,1.71787e+08,0.95874,10
164,1.71615e+08,1.71786e+08,0.95874,10
165,1.71613e+08,1.71785e+08,0.95874,10
166,1.71611e+08,1.71785e+08,0.95874,10
167,1.71609e+08,1.71784e+08,0.95874,10
168,1.71607e+08,1.71783e+08,0.95874,10
169,1.71605e+08,1.71783e+08,0.95874,10
170,1.71603e+08,1.71782e+08,0.95874,10
171,1.71601e+08,1.71782e+08,0.95874,10
172,1.716e+08,1.71781e+08,0.95874,10
173,1.71598e+08,1.7178e+08,0.95874,10
174,1.71596e+08,1.7178e+08,0.95874,10
175,1.71594e+08,1.71779e+08,0.95874,10
176,1.71593e+08,1.71779e+08,0.95874,10
177,1.71591e+08,1.71779e+08,0.95874,10
178,1.71589e+08,1.71778e+08,0.95874,10
179,1.71588e+08,1.71778e+08,0.95874,10
180,1.71586e+08,1.71777e+08,0.95874,10
181,1.71585e+08,1.71777e+08,0.95874,10
182,1.71583e+08,1.71777e+08,0.95874,10
183,1.71581e+08,1.71776e+08,0.95874,10
184,1.7158e+08,1.71776e+08,0.95874,10
185,1.71578e+08,1.71776e+08,0.95874,10
186,1.71577e+08,1.71775e+08,0.95874,10
187,1.71576e+08,1.71775e+08,0.95874,10
188,1.71574e+08,1.71775e+08,0.95874,10
189,1.71573e+08,1.71774e+08,0.95874,10
190,1.71571e+08,1.71774e+08,0.95874,10
191,1.7157e+08,1.71774e+08,0.95874,10
192,1.71569e+08,1.71774e+08,0.95874,10
193,1.71567e+08,1.71774e+08,0.95874,10
194,1.71566e+08,1.71773e+08,0.95874,10
195,1.71565e+08,1.71773e+08,0.95874,10
196,1.71563e+08,1.71773e+08,0.95874,10
197,1.71562e+08,1.71773e+08,0.95874,10
198,1.71561e+08,1.71773e+08,0.95874,10
199,1.7156e+08,1.71773e+08,0.95874,10
200,1.71558e+08,1.71773e+08,0.95874,10
201,1.71557e+08,1.71772e+08,0.95874,10
202,1.71556e+08,1.71772e+08,0.95874,10
203,1.71555e+08,1.71772e+08,0.95874,10
204,1.71554e+08,1.71772e+08,0.95874,10
205,1.71553e+08,1.71772e+08,0.95874,10
206,1.71551e+08,1.71772e+08,0.95874,10
207,1.7155e+08,1.71772e+08,0.95874,10
208,1.71549e+08,1.71772e+08,0.95874,10
209,1.71548e+08,1.71772e+08,0.95874,10
210,1.71547e+08,1.71772e+08,0.95874,10
211,1.71546e+08,1.71772e+08,0.95874,10
212,1.71545e+08,1.71772e+08,0.95874,10
213,1.71544e+08,1.71772e+08,0.95874,10
214,1.71543e+08,1.71772e+08,0.95874,10
215,1.71542e+08,1.71772e+08,0.95874,10
216,1.71541e+08,1.71772e+08,0.95874,10
217,1.7154e+08,1.71772e+08,0.95874,10
218,1.71539e+08,1.71772e+08,0.95874,10
219,1.71538e+08,1.71772e+08,0.95874,10
220,1.71537e+08,1.71772e+08,0.95874,10
